unix,low,high,open,close,volume,date
1607040000,78.01,89.9,89.04,79.58,418719.14882823,2020-12-04
1606953600,85.54,91.35,88.96,89.03,419650.38368676,2020-12-03
1606867200,82.79,90.63,85.18,88.99,495212.02530189,2020-12-02
1606780800,79.84,93.0,87.69,85.17,1155289.79175242,2020-12-01
1606694400,76.75,88.53,79.01,87.66,706120.28824358,2020-11-30
1606608000,71.64,81.21,72.75,79.0,466057.04881118,2020-11-29
1606521600,68.38,75.0,69.24,72.79,441134.21192161,2020-11-28
1606435200,65.28,73.58,71.12,69.2,532935.79664142,2020-11-27
1606348800,64.3,83.26,81.7,71.11,988347.77884566,2020-11-26
1606262400,77.95,90.74,89.35,81.75,493458.15495534,2020-11-25
1606176000,85.84,94.05,89.13,89.34,837367.93829356,2020-11-24
1606089600,80.8,90.98,82.95,89.18,720297.63787624,2020-11-23
1606003200,78.0,88.0,87.23,82.96,618485.43421601,2020-11-22
1605916800,80.54,88.56,82.65,87.13,776409.15818262,2020-11-21
1605830400,80.17,85.92,81.61,82.64,627670.97557165,2020-11-20
1605744000,71.53,83.5,73.49,81.62,812714.2798768,2020-11-19
1605657600,68.34,77.18,76.37,73.48,669396.20993694,2020-11-18
1605571200,71.48,77.04,73.82,76.41,608283.05635232,2020-11-17
1605484800,62.16,74.65,62.33,73.83,633900.68830653,2020-11-16
1605398400,61.08,64.5,63.89,62.37,132175.66639613,2020-11-15
1605312000,61.74,66.34,66.01,63.85,172711.38054471,2020-11-14
1605225600,60.17,66.66,60.74,66.01,481039.87932094,2020-11-13
1605139200,57.7,60.8,59.33,60.74,188590.08229276,2020-11-12
1605052800,57.87,60.63,57.99,59.33,199943.29495809,2020-11-11
1604966400,57.12,59.63,59.29,57.99,167252.84504751,2020-11-10
1604880000,57.45,61.88,60.98,59.25,228954.64363444,2020-11-09
1604793600,58.68,62.07,58.97,60.99,146472.86454459,2020-11-08
1604707200,56.98,64.87,63.35,58.94,431041.52471115,2020-11-07
1604620800,58.73,63.74,59.02,63.29,419560.67088908,2020-11-06
1604534400,54.71,59.79,54.77,59.04,273647.72963001,2020-11-05
1604448000,51.65,55.34,54.08,54.75,206517.92237682,2020-11-04
1604361600,51.25,54.4,53.85,54.02,181262.39153026,2020-11-03
1604275200,53.12,56.85,55.67,53.85,160154.91254076,2020-11-02
1604188800,54.11,56.2,55.71,55.65,71187.07017078,2020-11-01
1604102400,53.65,56.5,54.11,55.68,161337.08481029,2020-10-31
1604016000,52.27,55.81,54.93,54.08,166459.43264668,2020-10-30
1603929600,53.44,56.55,55.84,54.94,188062.91755927,2020-10-29
1603843200,54.71,60.9,57.81,55.84,257032.53810454,2020-10-28
1603756800,56.51,59.1,56.83,58.18,173980.76237557,2020-10-27
1603670400,55.0,59.35,58.88,56.89,238259.33693771,2020-10-26
1603584000,56.56,59.99,59.18,58.85,218143.150177,2020-10-25
1603497600,54.91,59.67,55.45,59.21,243362.27597588,2020-10-24
1603411200,53.16,57.04,54.42,55.46,254988.04944849,2020-10-23
1603324800,53.09,56.32,53.09,54.42,326777.67416153,2020-10-22
1603238400,46.9,55.19,46.95,53.13,475278.90353551,2020-10-21
1603152000,46.45,48.46,48.01,46.95,87535.07508404,2020-10-20
1603065600,46.6,48.48,47.58,48.01,77277.50409606,2020-10-19
1602979200,46.81,47.98,46.93,47.58,45321.78025531,2020-10-18
1602892800,46.34,47.67,47.65,46.93,63334.50061677,2020-10-17
1602806400,45.64,49.9,49.55,47.64,169332.3780818,2020-10-16
1602720000,48.88,50.26,49.81,49.58,76419.28988929,2020-10-15
1602633600,49.29,51.04,49.97,49.84,76591.8499199,2020-10-14
1602547200,48.86,50.72,50.6,49.97,105155.79488403,2020-10-13
1602460800,49.29,51.55,50.47,50.61,158153.17687133,2020-10-12
1602374400,48.71,51.25,48.86,50.48,93614.45943956,2020-10-11
1602288000,47.8,50.48,47.82,48.9,147763.95727087,2020-10-10
1602201600,46.61,48.22,47.25,47.82,81771.81643844,2020-10-09
1602115200,45.5,47.49,46.56,47.24,93883.49406285,2020-10-08
1602028800,45.03,46.92,45.95,46.58,85688.47973596,2020-10-07
1601942400,45.55,48.22,46.35,46.0,134792.02685094,2020-10-06
1601856000,45.55,47.09,46.68,46.35,56481.82798815,2020-10-05
1601769600,45.31,47.07,45.59,46.71,63279.3282807,2020-10-04
1601683200,44.77,46.0,44.94,45.56,60764.30666908,2020-10-03
1601596800,43.25,46.96,46.15,44.9,138524.84881147,2020-10-02
1601510400,45.28,48.49,46.33,46.16,193121.14288149,2020-10-01
1601424000,45.43,46.69,45.67,46.32,64965.81954228,2020-09-30
1601337600,44.95,45.82,45.2,45.69,62480.95831354,2020-09-29
1601251200,44.8,47.13,46.1,45.21,118610.25841464,2020-09-28
1601164800,44.6,46.63,46.08,46.07,70381.75989139,2020-09-27
1601078400,45.15,46.56,46.04,46.06,76516.40424506,2020-09-26
1600992000,44.0,46.55,44.94,46.04,120549.61004812,2020-09-25
1600905600,42.59,45.23,42.97,44.94,85955.87440661,2020-09-24
1600819200,42.24,45.12,44.49,42.95,96888.68240075,2020-09-23
1600732800,42.77,44.82,43.15,44.49,118743.82272467,2020-09-22
