unix,low,high,open,close,volume,date,vol_fiat
1610668800,1065.0,1255.59,1231.59,1158.13,546520.54077051,2021-01-15,632941833.8825508
1610582400,1087.05,1246.99,1130.79,1231.32,438467.28987015,2021-01-14,539893543.362913
1610496000,980.0,1137.75,1050.46,1130.8,504920.57439418,2021-01-13,570964185.5249387
1610409600,1006.83,1150.0,1088.55,1049.79,656376.70350396,2021-01-12,689057699.5714222
1610323200,905.0,1260.24,1255.1,1088.79,1556217.07756248,2021-01-11,1694393591.8792524
1610236800,1153.0,1350.88,1281.25,1255.13,670103.5931583,2021-01-10,841067122.8807772
1610150400,1172.86,1310.0,1217.31,1281.45,434123.02634182,2021-01-09,556306952.1057253
1610064000,1063.18,1275.0,1227.55,1217.35,781425.78426996,2021-01-08,951268678.4810357
1609977600,1140.0,1291.94,1212.68,1227.34,661416.03292889,2021-01-07,811782353.8549438
1609891200,1058.32,1215.98,1103.71,1212.02,821084.91284462,2021-01-06,995171336.0659362
1609804800,975.0,1136.93,1042.24,1103.73,858495.88816745,2021-01-05,947547666.6470596
1609718400,886.33,1168.99,980.44,1042.38,1103882.9026854,2021-01-04,1150665460.1012075
1609632000,770.0,1015.14,775.29,980.44,858743.81908511,2021-01-03,841946789.9838053
1609545600,715.22,789.21,730.97,775.3,368899.31941969,2021-01-02,286007642.34608567
1609459200,717.1,750.0,737.89,730.99,198060.44209411,2021-01-01,144780202.56637347
1609372800,724.0,755.9,752.87,737.67,217610.26070386,2020-12-31,160524561.01341638
1609286400,717.0,759.0,731.79,752.86,238441.21767564,2020-12-30,179512855.13928232
1609200000,688.0,739.66,729.65,731.76,295088.40177823,2020-12-29,215933888.88523757
1609113600,680.9,747.0,684.11,729.7,397946.53045409,2020-12-28,290381583.2723495
1609027200,625.01,714.99,636.85,684.12,436385.25431205,2020-12-27,298539880.17995965
1608940800,615.22,652.7,626.71,636.52,195895.6773533,2020-12-26,124691516.54892252
1608854400,604.26,633.97,612.25,626.75,158871.75321373,2020-12-25,99572871.32670528
1608768000,565.61,614.99,585.37,612.27,213890.61477265,2020-12-24,130958806.70685041
1608681600,551.45,638.75,636.73,585.11,328147.46529268,2020-12-23,192002363.4174
1608595200,587.54,638.5,608.07,636.82,207333.55726725,2020-12-22,132034155.93893015
1608508800,596.9,648.35,638.19,608.07,267136.10267039,2020-12-21,162437449.95078406
1608422400,621.46,661.4,658.8,638.4,164504.33582055,2020-12-20,105019567.98783912
1608336000,646.54,672.06,654.66,658.96,186815.55508677,2020-12-19,123103978.17997797
1608249600,629.59,664.46,643.26,654.66,177136.01903836,2020-12-18,115963866.22365277
1608163200,626.79,677.05,637.91,643.37,430253.08270837,2020-12-17,276811925.822084
1608076800,581.21,639.58,589.08,637.98,261818.28860235,2020-12-16,167034831.76252726
1607990400,579.15,597.04,586.4,589.08,95567.38638129,2020-12-15,56296835.96949031
1607904000,575.58,591.71,590.45,586.39,103488.31631148,2020-12-14,60684513.80188876
1607817600,563.79,595.21,568.64,590.75,105159.23425191,2020-12-13,62122817.63431583
1607731200,543.22,574.33,544.51,568.64,101618.14658727,2020-12-12,57784142.87538522
1607644800,535.5,560.62,559.33,544.23,173696.26025699,2020-12-11,94530715.71966167
1607558400,547.83,575.62,573.26,559.45,117320.21056794,2020-12-10,65634791.80223404
1607472000,530.32,578.67,554.8,573.38,246145.836363,2020-12-09,141135099.65381694
1607385600,548.12,595.47,591.53,554.79,173888.79056355,2020-12-08,96471762.1167519
1607299200,584.54,603.4,601.97,591.47,79196.58540342,2020-12-07,46842404.36856083
1607212800,583.31,607.46,597.29,601.95,101652.72670304,2020-12-06,61189858.83889493
1607126400,561.15,597.88,567.76,597.29,95956.77136123,2020-12-05,57314019.966349065
1607040000,566.0,620.56,616.46,567.6,195480.70629191,2020-12-04,110954848.89128812
1606953600,586.11,624.57,597.03,616.65,168346.30401374,2020-12-03,103810748.37007277
1606867200,575.08,604.96,585.87,597.35,136242.16440789,2020-12-02,81384256.90905309
1606780800,563.01,636.53,617.0,586.03,373179.79775575,2020-12-01,218694556.87880218
1606694400,571.11,617.0,576.9,617.0,313418.9868296,2020-11-30,193379514.8738632
1606608000,531.0,577.55,537.97,576.76,139940.81576302,2020-11-29,80712264.8994794
1606521600,505.01,548.83,519.04,538.11,166450.43752162,2020-11-28,89568644.93475895
1606435200,493.51,531.41,520.35,519.07,199205.09175665,2020-11-27,103401386.97812434
1606348800,480.08,577.0,569.19,520.34,614152.35686943,2020-11-26,319568037.37343925
1606262400,554.0,606.49,605.45,568.79,255508.1788265,2020-11-25,145330497.03472492
1606176000,587.25,623.22,609.26,605.45,387478.59472708,2020-11-24,234598915.17751062
1606089600,550.0,611.43,560.78,609.26,444789.07944749,2020-11-23,270992194.5441778
1606003200,511.16,581.8,553.06,560.82,403902.15612966,2020-11-22,226516407.20063597
1605916800,502.82,554.28,510.6,553.07,287728.12781004,2020-11-21,159133795.64789885
1605830400,471.07,514.73,471.92,510.43,296509.77452923,2020-11-20,151347484.21295488
1605744000,465.18,480.99,479.0,471.92,131594.48266392,2020-11-19,62102068.25875713
1605657600,456.5,495.68,482.75,478.96,296492.09128068,2020-11-18,142007852.03979447
1605571200,460.05,485.0,460.87,482.68,196041.73514216,2020-11-17,94625424.7184178
1605484800,445.91,466.21,448.6,460.85,112980.26100088,2020-11-16,52066953.28225555
1605398400,439.77,463.24,461.21,448.58,89217.75628557,2020-11-15,40021301.11458099
1605312000,452.17,478.0,477.15,461.16,114594.78378366,2020-11-14,52846530.489672646
1605225600,457.64,478.31,462.91,477.14,134796.05936368,2020-11-13,64316591.764786266
1605139200,452.07,470.56,463.75,462.98,180116.97555794,2020-11-12,83390557.34381506
1605052800,449.95,476.8,450.89,463.79,195694.06578762,2020-11-11,90760950.77164029
1604966400,439.36,455.51,444.84,450.89,132863.6764641,2020-11-10,59906903.08089804
1604880000,433.83,460.0,454.61,444.81,171387.94473541,2020-11-09,76235071.69775772
1604793600,432.65,460.57,435.59,454.61,111199.12192081,2020-11-08,50552232.81641943
1604707200,423.0,468.98,456.69,435.73,297289.78479728,2020-11-07,129538077.9297188
1604620800,415.57,458.92,417.29,456.65,357787.28499666,2020-11-06,163383563.69372478
1604534400,396.43,421.25,403.19,417.17,248936.20591844,2020-11-05,103848717.02299562
1604448000,376.64,409.0,388.33,403.18,214751.18285099,2020-11-04,86583381.90186216
1604361600,370.5,390.35,383.33,388.32,105339.73002582,2020-11-03,40905523.96362642
1604275200,378.36,404.57,396.91,383.33,128275.51088227,2020-11-02,49171851.586500555
1604188800,385.09,397.65,386.72,396.91,49385.47176829,2020-11-01,19601587.599551987
1604102400,380.76,394.0,382.77,386.74,76755.21020838,2020-10-31,29684309.99598888
1604016000,373.4,392.16,387.49,382.77,107710.17276225,2020-10-30,41228222.828206435
1603929600,380.75,394.0,388.59,387.6,104421.73544657,2020-10-29,40473864.659090534
1603843200,380.5,409.52,404.56,388.63,128255.13819075,2020-10-28,49843794.35507117
1603756800,390.35,411.77,393.07,404.55,108903.27558482,2020-10-27,44056820.13783893
1603670400,382.21,411.47,406.32,393.12,129676.34185848,2020-10-26,50978363.511405654
1603584000,402.92,417.86,412.58,406.46,53762.84086586,2020-10-25,21852444.298337456
1603497600,407.4,417.0,409.55,412.58,68349.19907782,2020-10-24,28199512.55552697
1603411200,401.51,419.48,414.64,409.52,124844.52058112,2020-10-23,51126328.06838026
1603324800,391.33,421.47,391.36,414.7,182333.508395,2020-10-22,75613705.9314065
1603238400,368.06,402.62,368.81,391.53,249849.80700571,2020-10-21,97823694.93694563
1603152000,363.01,380.9,379.53,368.81,84940.26982272,2020-10-20,31326820.913317364
1603065600,372.89,384.69,378.56,379.36,69957.45766229,2020-10-19,26539061.138766337
1602979200,367.31,378.69,368.48,378.58,42509.2101992,2020-10-18,16093136.797213137
1602892800,363.56,370.57,365.57,368.48,41868.07115942,2020-10-17,15427546.860823082
1602806400,361.38,380.0,377.89,365.57,106263.28472121,2020-10-16,38846668.995532736
1602720000,370.06,381.99,379.01,377.94,68915.97860381,2020-10-15,26046104.953523953
1602633600,373.29,387.63,381.37,378.97,80200.71716699,2020-10-14,30393665.784774203
1602547200,374.29,387.88,386.77,381.37,84543.6186979,2020-10-13,32242399.862818126
1602460800,365.77,395.18,374.37,386.74,111464.29529211,2020-10-12,43107701.56127062
1602374400,369.02,377.49,370.73,374.38,55925.96138195,2020-10-11,20937561.422174443
1602288000,365.02,380.81,365.35,370.75,117309.72652529,2020-10-10,43492581.10925127
1602201600,347.15,368.7,351.17,365.36,116241.01508045,2020-10-09,42469817.26979321
1602115200,334.29,353.34,341.7,351.25,88039.97567275,2020-10-08,30924041.45505344
1602028800,332.87,342.83,340.8,341.68,95554.36544775,2020-10-07,32649015.586187217
1601942400,336.73,355.33,353.82,340.78,101113.66417348,2020-10-06,34457514.47703852
1601856000,348.69,356.12,352.42,353.73,53291.56083882,2020-10-05,18850823.815515798
1601769600,344.08,354.35,346.18,352.48,57672.70466128,2020-10-04,20328474.939007975
1601683200,343.71,351.2,345.74,346.18,39972.14867485,2020-10-03,13837558.428259574
1601596800,334.19,354.25,352.84,345.7,152553.41162458,2020-10-02,52737714.398617305
1601510400,345.01,370.25,360.01,352.9,123288.381776,2020-10-01,43508469.928750396
1601424000,351.38,361.51,359.93,359.89,61528.3697469,2020-09-30,22143444.98821184
1601337600,350.19,360.59,353.68,359.9,116581.13501754,2020-09-29,41957550.49281264
1601251200,351.88,368.52,357.53,353.91,104212.37558644,2020-09-28,36881801.84379698
1601164800,347.05,362.86,354.01,357.55,80085.26429182,2020-09-27,28634486.247540243
1601078400,346.03,356.5,352.12,354.13,61035.01105045,2020-09-26,21614328.46329586
1600992000,337.63,358.12,349.14,352.11,126913.44997664,2020-09-25,44687494.87127471
1600905600,316.65,353.14,320.65,349.14,183245.45463309,2020-09-24,63978318.03059704
1600819200,313.0,344.64,344.25,320.63,190725.11444266,2020-09-23,61152193.443750076
1600732800,335.57,346.84,340.36,344.26,125988.89838001,2020-09-22,43372938.15630224
1600646400,331.0,376.76,371.03,340.11,266795.43383713,2020-09-21,90739795.00234629
1600560000,364.89,385.31,385.25,370.69,89803.37071302,2020-09-20,33289211.489609387
1600473600,377.2,388.43,384.6,385.23,70257.87733175,2020-09-19,27065442.084510054
1600387200,375.19,392.69,389.52,384.64,163353.49313499,2020-09-18,62832287.59944256
1600300800,363.4,394.55,365.22,389.45,212965.41279613,2020-09-17,82939380.01345283
1600214400,355.0,373.37,364.05,365.23,130167.7980122,2020-09-16,47541184.867995806
1600128000,362.5,382.76,377.27,364.2,170054.9627384,2020-09-15,61934017.42932528
1600041600,355.66,384.61,366.58,377.28,190573.77197746,2020-09-14,71899672.69165611
1599955200,353.58,390.41,387.82,366.58,164465.94392732,2020-09-13,60289925.72487697
1599868800,364.88,388.25,373.93,387.81,109437.79363532,2020-09-12,42441070.74971345
1599782400,355.81,375.38,367.94,373.93,132464.58690229,2020-09-11,49532482.9803733
1599696000,350.23,377.79,351.11,368.06,217245.43576712,2020-09-10,79959355.08844618
1599609600,330.6,359.41,337.48,351.1,166730.61512655,2020-09-09,58539118.97093171
1599523200,325.36,357.01,353.71,337.48,209229.73612667,2020-09-08,70610851.3480286
1599436800,323.17,358.66,352.85,353.71,215514.08931085,2020-09-07,76229488.53014074
1599350400,316.43,360.61,335.25,352.77,266338.83290829,2020-09-06,93956350.08505745
1599264000,310.0,394.38,389.2,335.25,607878.87819331,2020-09-05,203791393.91430718
1599177600,359.0,400.5,382.15,388.96,286186.00739699,2020-09-04,111314909.43713324
1599091200,370.0,451.0,439.99,382.87,407832.29146336,2020-09-03,156146749.43257666
1599004800,420.58,481.2,475.57,440.02,320308.05438354,2020-09-02,140941950.08984527
1598918400,429.66,488.95,433.88,475.57,333743.62207967,2020-09-01,158718454.35242867
1598832000,418.16,439.0,428.92,433.89,168619.80537213,2020-08-31,73162447.35291348
1598745600,398.24,429.9,398.57,428.94,170379.4456584,2020-08-30,73082559.4207141
1598659200,392.34,405.82,395.35,398.58,89963.76995825,2020-08-29,35857759.42995929
1598572800,379.67,398.16,383.27,395.47,123755.41938251,2020-08-28,48941555.70320123
1598486400,371.5,397.15,386.12,383.25,121889.95194935,2020-08-27,46714324.084588386
1598400000,377.56,393.5,383.26,386.1,131417.52221164,2020-08-26,50740305.325914204
1598313600,369.36,409.31,407.76,383.33,189576.54223265,2020-08-25,72670375.93404172
1598227200,387.72,411.97,390.78,407.76,153521.94600679,2020-08-24,62600108.70372869
1598140800,383.67,400.0,395.52,390.9,79939.92783349,2020-08-23,31248517.79011124
1598054400,379.53,399.73,388.0,395.62,145453.08931908,2020-08-22,57544151.196414426
1597968000,385.0,418.92,415.92,388.05,218376.51497554,2020-08-21,84741006.63625829
1597881600,402.3,419.58,407.6,415.92,146536.51021535,2020-08-20,60947465.32876837
1597795200,393.75,426.97,422.31,407.59,212936.96902525,2020-08-19,86790979.20500164
1597708800,414.44,434.27,431.5,422.31,148682.30738539,2020-08-18,62790025.23192406
1597622400,420.5,447.5,433.71,431.5,221839.14358535,2020-08-17,95723590.45707852
1597536000,412.51,437.0,432.67,433.7,198013.6894012,2020-08-16,85878537.09330045
1597449600,428.0,443.33,438.83,432.55,170960.90077551,2020-08-15,73949137.63044685
1597363200,417.52,445.45,425.0,438.83,320572.96388462,2020-08-14,140677033.7414878
1597276800,376.46,432.94,387.27,424.94,363868.52826094,2020-08-13,154622292.39920384
1597190400,365.19,389.57,378.92,387.27,193171.5051413,2020-08-12,74809528.79607125
1597104000,364.77,398.3,395.77,378.88,231283.21718575,2020-08-11,87628585.32733695
1597017600,385.44,400.21,390.41,395.78,198449.18038811,2020-08-10,78542216.61400616
1596931200,384.02,401.0,397.5,390.41,144028.58904543,2020-08-09,56230201.449226335
1596844800,376.18,400.06,379.76,397.51,109615.57796907,2020-08-08,43573288.39848501
1596758400,362.88,398.57,395.28,379.75,258109.56327072,2020-08-07,98017106.65205592
1596672000,391.0,404.03,401.21,395.28,147321.25541594,2020-08-06,58233145.84081276
1596585600,383.86,408.0,389.76,401.21,208377.2177264,2020-08-05,83603023.52400894
1596499200,380.67,403.64,386.27,389.82,250989.95459676,2020-08-04,97840904.10090898
1596412800,366.34,399.69,372.19,386.22,246596.56665901,2020-08-03,95240525.97504285
1596326400,325.75,415.0,387.4,372.21,573146.54484066,2020-08-02,213330875.45514202
1596240000,343.75,394.0,346.86,387.4,308505.50003166,2020-08-01,119515030.71226509
1596153600,328.35,349.74,335.25,346.86,199448.47978816,2020-07-31,69180699.69932118
1596067200,314.52,342.4,318.15,335.31,175330.87646686,2020-07-30,58790196.18810283
1595980800,312.66,325.85,317.52,318.16,166994.96333734,2020-07-29,53131117.5354081
