unix,low,high,open,close,volume,date,vol_fiat
1610668800,130.29,155.3,152.38,140.65,691112.5741667,2021-01-15,97204983.55654636
1610582400,143.4,156.87,147.55,152.38,743175.0059382,2021-01-14,113245007.40486293
1610496000,125.7,148.5,133.36,147.51,868082.62399309,2021-01-13,128050867.8652207
1610409600,128.0,146.88,139.35,133.39,1151437.30124188,2021-01-12,153590221.61265436
1610323200,111.04,170.72,170.22,139.43,2538624.92406998,2021-01-11,353960473.16307735
1610236800,160.62,186.34,177.9,170.21,1050079.22012166,2021-01-10,178733984.05690777
1610150400,163.58,179.42,172.46,177.87,719159.33210206,2021-01-09,127916870.4009934
1610064000,150.2,181.55,169.75,172.46,1248036.47869796,2021-01-08,215236371.1162502
1609977600,162.0,181.25,169.45,169.75,1139850.35207682,2021-01-07,193489597.26504022
1609891200,155.37,169.9,159.01,169.41,861475.91623074,2021-01-06,145942634.96864966
1609804800,146.62,163.36,155.48,159.03,864792.96091525,2021-01-05,137528024.5743522
1609718400,140.0,174.5,161.44,155.43,1288609.45497657,2021-01-04,200288567.5870083
1609632000,135.5,164.98,137.1,161.52,1359302.40338031,2021-01-03,219554524.19398767
1609545600,123.8,142.21,126.53,137.13,999028.21705459,2021-01-02,136996739.40469593
1609459200,123.19,134.22,124.42,126.53,495005.89206941,2021-01-01,62633095.52354245
1609372800,122.0,130.35,130.09,124.41,402189.42314972,2020-12-31,50036386.134056665
1609286400,122.6,132.89,128.7,130.11,527659.71781772,2020-12-30,68653805.88526356
1609200000,120.0,130.67,129.67,128.69,543578.98588219,2020-12-29,69953179.69317904
1609113600,126.21,136.99,127.67,129.69,742365.72495903,2020-12-28,96277410.8699366
1609027200,121.55,139.3,129.56,127.6,1327306.27355629,2020-12-27,169364280.5057826
1608940800,124.84,135.0,127.8,129.56,1122808.59363966,2020-12-26,145471081.39195433
1608854400,108.24,128.54,111.17,127.67,1078936.9451263,2020-12-25,137747879.78427473
1608768000,98.68,112.3,102.46,111.2,800710.15980679,2020-12-24,89038969.77051504
